Algorithm,Implementation_type,Description,Implementation
Local Only,Deterministic baseline,All tasks are executed on the source terminal.,inline lambda
Random Offloading,Stochastic baseline,Randomly selects one feasible execution layer.,inline lambda (seed 42)
Round-Robin,Deterministic baseline,"Cycles tasks over the three edge nodes in arrival order; spreads load without any state observation, learning, or trust check.",inline round-robin cycle over EDGE_ACTION_IDS (build_release_results.py)
Greedy,Self-implemented heuristic,Myopic threshold rule on a latency-urgency index and a resource-footprint index; no queueing estimate and no trust check.,scripts/baseline_policies.py::GreedyPolicy
MILP-inspired,Optimization-inspired baseline,Uses deterministic assignment under the same objective components; no exact MILP optimality gap is claimed.,scripts/baseline_policies.py::milp_policy
Centralized DQN,Self-implemented learning baseline,Single DQN policy trained on the full training workload with centralized state observation (live load of every execution location); no federated aggregation and no DT re-orchestration.,train_centralized_dqn.py -> results/centralized_dqn_weights.pkl (scripts/baseline_policies.py::centralized_dqn_policy)
Fuzzy DQL,Self-implemented fuzzy-guided DQL baseline,Uses the fuzzy winner action only; no federated aggregation and no DT re-orchestration.,scripts/baseline_policies.py::make_fuzzy_dql_policy
FedServ,Literature-inspired federated service baseline,Admits prioritized tasks to a reserved edge service class and fills the remaining edge capacity in arrival order; no learning and no DT check.,scripts/baseline_policies.py::FedServPolicy
FedDQL-Federated,Proposed-family ablation,Federated DQL without DT trustworthy re-orchestration.,FedDQL with digital_twin_orchestration=False
DT-FedDQL,Proposed method,Fuzzy prior + FedDQL + DT trustworthy orchestration.,FedDQL with digital_twin_orchestration=True
